"","ZUni","NewZ"
"tqwt_energy_dec_33",0.989503264002713,5.22964969497549
"std_MFCC_2nd_coef",0.627809842411574,4.67584695489147
"tqwt_stdValue_dec_33",2.80951532079097,4.4326771071458
"locDbShimmer",3.54818418699411,5.9395203852562
"std_12th_delta_delta",4.56576979834061,4.47057462579823
"tqwt_kurtosisValue_dec_33",2.06020075804319,4.48012321599211
"tqwt_TKEO_mean_dec_17",4.90510285582149,3.47137155508266
"tqwt_TKEO_std_dec_11",5.02538705593467,3.93527136725415
"tqwt_minValue_dec_7",4.98638886477824,2.11593783556589
"tqwt_kurtosisValue_dec_2",0.341188999007214,2.80900832408729
"tqwt_TKEO_std_dec_36",2.7135260257139,2.38419198809921
"tqwt_maxValue_dec_28",0.996802047768615,3.7861976582824
"tqwt_TKEO_std_dec_17",4.63117471770592,3.14006637962596
"tqwt_maxValue_dec_29",0.0676556317228477,3.82114065086627
"tqwt_entropy_log_dec_1",0.80492317803474,2.16885376702771
"det_LT_TKEO_mean_3_coef",1.76679997060556,3.07637114847111
"tqwt_TKEO_std_dec_7",4.87165646388318,2.16549854284785
"tqwt_entropy_log_dec_35",3.56084998010828,1.5306329313301
